ss,eff_size,icc,p.exercise,p.exercise_protein
150,0.1,0.1,0.04,0.06
150,0.1,0.2,0.08,0.1
150,0.1,0.3,0.05,0.1
150,0.1,0.4,0.04,0.09
150,0.1,0.5,0.09,0.08
150,0.1,0.6,0.08,0.1
150,0.1,0.7,0.08,0.08
150,0.1,0.8,0.04,0.07
150,0.1,0.9,0.07,0.05
150,0.2,0.1,0.14,0.12
150,0.2,0.2,0.07,0.15
150,0.2,0.3,0.09,0.16
150,0.2,0.4,0.11,0.16
150,0.2,0.5,0.12,0.19
150,0.2,0.6,0.12,0.14
150,0.2,0.7,0.08,0.16
150,0.2,0.8,0.11,0.11
150,0.2,0.9,0.15,0.17
150,0.3,0.1,0.18,0.24
150,0.3,0.2,0.14,0.22
150,0.3,0.3,0.11,0.22
150,0.3,0.4,0.22,0.29
150,0.3,0.5,0.16,0.24
150,0.3,0.6,0.23,0.24
150,0.3,0.7,0.21,0.29
150,0.3,0.8,0.2,0.25
150,0.3,0.9,0.16,0.21
150,0.4,0.1,0.28,0.31
150,0.4,0.2,0.33,0.43
150,0.4,0.3,0.29,0.36
150,0.4,0.4,0.3,0.31
150,0.4,0.5,0.35,0.36
150,0.4,0.6,0.29,0.37
150,0.4,0.7,0.43,0.43
150,0.4,0.8,0.26,0.34
150,0.4,0.9,0.31,0.32
150,0.5,0.1,0.46,0.47
150,0.5,0.2,0.48,0.53
150,0.5,0.3,0.53,0.49
150,0.5,0.4,0.44,0.49
150,0.5,0.5,0.44,0.45
150,0.5,0.6,0.49,0.48
150,0.5,0.7,0.35,0.54
150,0.5,0.8,0.49,0.55
150,0.5,0.9,0.43,0.53
150,0.6,0.1,0.56,0.67
150,0.6,0.2,0.47,0.62
150,0.6,0.3,0.6,0.63
150,0.6,0.4,0.54,0.62
150,0.6,0.5,0.45,0.65
150,0.6,0.6,0.57,0.73
150,0.6,0.7,0.57,0.58
150,0.6,0.8,0.56,0.61
150,0.6,0.9,0.6,0.64
150,0.7,0.1,0.66,0.77
150,0.7,0.2,0.76,0.8
150,0.7,0.3,0.82,0.81
150,0.7,0.4,0.64,0.71
150,0.7,0.5,0.65,0.75
150,0.7,0.6,0.71,0.65
150,0.7,0.7,0.76,0.79
150,0.7,0.8,0.74,0.79
150,0.7,0.9,0.67,0.78
150,0.8,0.1,0.84,0.83
150,0.8,0.2,0.87,0.85
150,0.8,0.3,0.8,0.85
150,0.8,0.4,0.78,0.8
150,0.8,0.5,0.83,0.83
150,0.8,0.6,0.81,0.9
150,0.8,0.7,0.77,0.86
150,0.8,0.8,0.81,0.84
150,0.8,0.9,0.79,0.85
150,0.9,0.1,0.8,0.89
150,0.9,0.2,0.91,0.9
150,0.9,0.3,0.87,0.9
150,0.9,0.4,0.87,0.95
150,0.9,0.5,0.83,0.94
150,0.9,0.6,0.87,0.93
150,0.9,0.7,0.91,0.9
150,0.9,0.8,0.92,0.96
150,0.9,0.9,0.85,0.97
180,0.1,0.1,0.09,0.08
180,0.1,0.2,0.06,0.08
180,0.1,0.3,0.05,0.09
180,0.1,0.4,0.05,0.08
180,0.1,0.5,0.11,0.14
180,0.1,0.6,0.08,0.14
180,0.1,0.7,0,0.12
180,0.1,0.8,0.11,0.12
180,0.1,0.9,0.07,0.1
180,0.2,0.1,0.05,0.12
180,0.2,0.2,0.1,0.17
180,0.2,0.3,0.13,0.18
180,0.2,0.4,0.13,0.15
180,0.2,0.5,0.14,0.09
180,0.2,0.6,0.08,0.13
180,0.2,0.7,0.13,0.13
180,0.2,0.8,0.08,0.16
180,0.2,0.9,0.14,0.23
180,0.3,0.1,0.17,0.28
180,0.3,0.2,0.18,0.22
180,0.3,0.3,0.24,0.26
180,0.3,0.4,0.18,0.27
180,0.3,0.5,0.21,0.31
180,0.3,0.6,0.19,0.29
180,0.3,0.7,0.19,0.21
180,0.3,0.8,0.22,0.22
180,0.3,0.9,0.25,0.23
180,0.4,0.1,0.32,0.46
180,0.4,0.2,0.43,0.4
180,0.4,0.3,0.33,0.39
180,0.4,0.4,0.27,0.39
180,0.4,0.5,0.34,0.42
180,0.4,0.6,0.4,0.45
180,0.4,0.7,0.25,0.42
180,0.4,0.8,0.36,0.48
180,0.4,0.9,0.34,0.45
180,0.5,0.1,0.59,0.57
180,0.5,0.2,0.45,0.56
180,0.5,0.3,0.52,0.58
180,0.5,0.4,0.52,0.57
180,0.5,0.5,0.55,0.59
180,0.5,0.6,0.51,0.58
180,0.5,0.7,0.56,0.52
180,0.5,0.8,0.48,0.52
180,0.5,0.9,0.39,0.53
180,0.6,0.1,0.6,0.66
180,0.6,0.2,0.59,0.79
180,0.6,0.3,0.67,0.7
180,0.6,0.4,0.62,0.77
180,0.6,0.5,0.62,0.75
180,0.6,0.6,0.65,0.73
180,0.6,0.7,0.61,0.77
180,0.6,0.8,0.62,0.73
180,0.6,0.9,0.55,0.66
180,0.7,0.1,0.75,0.73
180,0.7,0.2,0.73,0.78
180,0.7,0.3,0.8,0.84
180,0.7,0.4,0.84,0.88
180,0.7,0.5,0.74,0.87
180,0.7,0.6,0.74,0.76
180,0.7,0.7,0.8,0.86
180,0.7,0.8,0.76,0.84
180,0.7,0.9,0.78,0.87
180,0.8,0.1,0.84,0.89
180,0.8,0.2,0.88,0.85
180,0.8,0.3,0.88,0.9
180,0.8,0.4,0.9,0.87
180,0.8,0.5,0.86,0.92
180,0.8,0.6,0.93,0.92
180,0.8,0.7,0.86,0.89
180,0.8,0.8,0.89,0.89
180,0.8,0.9,0.88,0.91
180,0.9,0.1,0.94,0.97
180,0.9,0.2,0.94,1
180,0.9,0.3,0.92,0.96
180,0.9,0.4,0.95,0.97
180,0.9,0.5,0.95,0.95
180,0.9,0.6,0.9,0.94
180,0.9,0.7,0.95,0.96
180,0.9,0.8,0.87,0.92
180,0.9,0.9,0.95,0.95
210,0.1,0.1,0.05,0.12
210,0.1,0.2,0.08,0.07
210,0.1,0.3,0.03,0.13
210,0.1,0.4,0.07,0.13
210,0.1,0.5,0.1,0.06
210,0.1,0.6,0.08,0.14
210,0.1,0.7,0.08,0.13
210,0.1,0.8,0.07,0.12
210,0.1,0.9,0.07,0.13
210,0.2,0.1,0.11,0.16
210,0.2,0.2,0.14,0.16
210,0.2,0.3,0.15,0.22
210,0.2,0.4,0.2,0.2
210,0.2,0.5,0.09,0.11
210,0.2,0.6,0.11,0.19
210,0.2,0.7,0.13,0.21
210,0.2,0.8,0.15,0.16
210,0.2,0.9,0.1,0.13
210,0.3,0.1,0.27,0.31
210,0.3,0.2,0.21,0.32
210,0.3,0.3,0.22,0.3
210,0.3,0.4,0.26,0.26
210,0.3,0.5,0.29,0.38
210,0.3,0.6,0.22,0.26
210,0.3,0.7,0.22,0.3
210,0.3,0.8,0.32,0.38
210,0.3,0.9,0.23,0.3
210,0.4,0.1,0.42,0.52
210,0.4,0.2,0.42,0.52
210,0.4,0.3,0.33,0.39
210,0.4,0.4,0.4,0.45
210,0.4,0.5,0.43,0.59
210,0.4,0.6,0.35,0.44
210,0.4,0.7,0.32,0.4
210,0.4,0.8,0.52,0.45
210,0.4,0.9,0.37,0.47
210,0.5,0.1,0.56,0.75
210,0.5,0.2,0.51,0.63
210,0.5,0.3,0.62,0.72
210,0.5,0.4,0.53,0.64
210,0.5,0.5,0.51,0.66
210,0.5,0.6,0.58,0.7
210,0.5,0.7,0.61,0.6
210,0.5,0.8,0.55,0.64
210,0.5,0.9,0.66,0.64
210,0.6,0.1,0.66,0.78
210,0.6,0.2,0.64,0.7
210,0.6,0.3,0.77,0.76
210,0.6,0.4,0.76,0.81
210,0.6,0.5,0.62,0.8
210,0.6,0.6,0.71,0.79
210,0.6,0.7,0.68,0.74
210,0.6,0.8,0.73,0.78
210,0.6,0.9,0.66,0.71
210,0.7,0.1,0.86,0.83
210,0.7,0.2,0.84,0.86
210,0.7,0.3,0.86,0.87
210,0.7,0.4,0.81,0.82
210,0.7,0.5,0.8,0.9
210,0.7,0.6,0.88,0.82
210,0.7,0.7,0.85,0.93
210,0.7,0.8,0.81,0.9
210,0.7,0.9,0.82,0.88
210,0.8,0.1,0.9,0.92
210,0.8,0.2,0.89,0.9
210,0.8,0.3,0.94,0.96
210,0.8,0.4,0.93,0.94
210,0.8,0.5,0.91,0.95
210,0.8,0.6,0.94,0.94
210,0.8,0.7,0.9,0.94
210,0.8,0.8,0.94,0.92
210,0.8,0.9,0.92,0.94
210,0.9,0.1,0.96,0.96
210,0.9,0.2,0.98,1
210,0.9,0.3,0.95,0.98
210,0.9,0.4,0.94,0.94
210,0.9,0.5,0.95,0.97
210,0.9,0.6,0.99,0.96
210,0.9,0.7,0.96,0.95
210,0.9,0.8,0.96,0.98
210,0.9,0.9,0.97,0.98
240,0.1,0.1,0.11,0.12
240,0.1,0.2,0.12,0.1
240,0.1,0.3,0.09,0.09
240,0.1,0.4,0.04,0.04
240,0.1,0.5,0.02,0.07
240,0.1,0.6,0.06,0.13
240,0.1,0.7,0.06,0.1
